SampleID,Zip_Code,Ward,Time,Lead_ppb
1,48504,6,First Draw,0.344
1,48504,6,Forty Five Sec,0.226
1,48504,6,Two Min,0.145
2,48507,9,First Draw,8.133
2,48507,9,Forty Five Sec,10.77
2,48507,9,Two Min,2.761
4,48504,1,First Draw,1.111
4,48504,1,Forty Five Sec,0.11
4,48504,1,Two Min,0.123
5,48507,8,First Draw,8.007
5,48507,8,Forty Five Sec,7.446
5,48507,8,Two Min,3.384
6,48505,3,First Draw,1.951
6,48505,3,Forty Five Sec,0.048
6,48505,3,Two Min,0.035
7,48507,9,First Draw,7.2
7,48507,9,Forty Five Sec,1.4
7,48507,9,Two Min,0.2
8,48507,9,First Draw,40.63
8,48507,9,Forty Five Sec,9.726
8,48507,9,Two Min,6.132
9,48503,5,First Draw,1.1
9,48503,5,Forty Five Sec,2.5
9,48503,5,Two Min,0.1
12,48507,9,First Draw,10.6
12,48507,9,Forty Five Sec,1.038
12,48507,9,Two Min,1.294
13,48505,3,First Draw,6.2
13,48505,3,Forty Five Sec,4.2
13,48505,3,Two Min,2.3
15,48507,9,First Draw,4.358
15,48507,9,Forty Five Sec,0.822
15,48507,9,Two Min,0.147
16,48505,5,First Draw,24.37
16,48505,5,Forty Five Sec,8.796
16,48505,5,Two Min,4.347
17,48505,2,First Draw,6.609
17,48505,2,Forty Five Sec,5.752
17,48505,2,Two Min,1.433
18,48503,7,First Draw,4.062
18,48503,7,Forty Five Sec,1.099
18,48503,7,Two Min,1.085
19,48507,9,First Draw,2.484
19,48507,9,Forty Five Sec,0.72
19,48507,9,Two Min,0.565
20,48507,9,First Draw,0.438
20,48507,9,Forty Five Sec,1.046
20,48507,9,Two Min,0.511
21,48503,5,First Draw,1.29
21,48503,5,Forty Five Sec,0.243
21,48503,5,Two Min,0.225
22,48504,6,First Draw,0.548
22,48504,6,Forty Five Sec,0.622
22,48504,6,Two Min,0.361
23,48504,2,First Draw,3.131
23,48504,2,Forty Five Sec,0.674
23,48504,2,Two Min,0.683
24,48504,6,First Draw,120
24,48504,6,Forty Five Sec,239.7
24,48504,6,Two Min,29.71
25,48505,1,First Draw,2.911
25,48505,1,Forty Five Sec,0.406
25,48505,1,Two Min,0.237
26,48505,5,First Draw,16.52
26,48505,5,Forty Five Sec,10.26
26,48505,5,Two Min,2.762
27,48505,1,First Draw,1.984
27,48505,1,Forty Five Sec,1.13
27,48505,1,Two Min,0.712
28,48503,7,First Draw,5.367
28,48503,7,Forty Five Sec,2.474
28,48503,7,Two Min,1.616
29,48504,2,First Draw,5.5
29,48504,2,Forty Five Sec,8.4
29,48504,2,Two Min,2.4
30,48506,4,First Draw,0.639
